campaign_id,campaign_name,ad_group_id,ad_group_name,ad_id,ad_type,main_color,accent_color
1770000134,1062 - Preserve at Old Dowlen - MKT - GOA - Display,72619251487,Preserve at Old Dowlen - Display,342695573688,RESPONSIVE_DISPLAY_AD,#ff6600,#0094d5
11017656415,1124 - Cobblestone - MKT - remarketing,103340226930,1124 Cobblestone MKT remarketing,597846133897,RESPONSIVE_DISPLAY_AD,#14284b,#ff6600
9725286468,1100 Fairways MKT Remarketing 30 Days,106354088384,March Special 2020,427799966147,RESPONSIVE_DISPLAY_AD,#14284b,#ff6600
10840729119,1141 - Canton Mill Lofts - MKT - Remarketing,106424649346,Canton Mill Lofts Remarketing,586632368862,RESPONSIVE_DISPLAY_AD,#14284b,#ff6600
11026208633,1077 - Westover - MKT - Remarketing,107688866786,1070 - Westover - MKT - Remarketing,601204468515,RESPONSIVE_DISPLAY_AD,#14284b,#ff6600
13898441931,1146 Elation - MKT - Remarketing,125596431595,katy apts,533706176366,RESPONSIVE_DISPLAY_AD,#14284b,#ff6600
14601153720,1107 Balmoral Village MKT Remarketing,127792388620,Peachtree City Apts,544851971676,RESPONSIVE_DISPLAY_AD,#14284b,#ff6600
15551194512,1065 Shadowbrooke MKT Remarketing,127921720021,All bedrooms,569208597546,RESPONSIVE_DISPLAY_AD,#14284b,#ff6600
14646908104,1144 The Harrison MKT Remarketing,127989505595,Sandy Springs Apts,545750813014,RESPONSIVE_DISPLAY_AD,#14284b,#ff6600
13967079557,1113 Grand Harbor MKT Remarketing,128024003194,grand harbor katy,534639191967,RESPONSIVE_DISPLAY_AD,#14284b,#ff6600
15640976605,1155 The Parker MKT Remarketing,128716340542,All Beds,570839794980,RESPONSIVE_DISPLAY_AD,#14284b,#ff6600
